EAN,Sales,Size,SoldPrice,BoughtPrice,ItemGroupName
64106892,8,2XS,69,53,82,Top
92017888,2,One Size,10,7,6,Socks
88040299,4,One Size,8,5,68,Socks
71365318,2,One Size,13,10,92,Socks
65389352,5,One Size,9,7,38,Socks
54707915,5,X242S,37,28,86,Top
22379658,8,One Size,14,11,9,Socks
60391442,0,32W/32L,99,86,13,Pants
93265523,1,32W/32L,65,57,85,Pants
12935554,7,M,76,61,56,Top
45145098,2,36C,67,55,61,Bra
69482933,4,2XS,57,48,45,Top
42276662,2,32C,53,46,11,Bra
30359050,0,25-30,14,11,2,Socks
43081565,5,X242S,41,34,44,Top
50969948,8,32W/32L,117,94,77,Pants
24909717,8,XXS,69,55,89,Top
91831460,3,2XS,58,40,6,Top
77417214,2,30W/32L,80,56,Pants
36690229,5,XXS,53,37,63,Top
46976745,2,36C,35,30,1,Bra
83011317,1,30W/32L,73,57,67,Pants
26526512,7,25-30,11,9,79,Socks
41138920,3,32B,47,38,07,Bra
78390862,6,One Size,5,3,9,Socks
83832739,9,25-30,14,10,64,Socks
17629964,9,36W/34L,109,88,29,Pants
99538917,0,One Size,6,4,86,Socks
23313150,7,3XS,24,18,96,Top
71851674,1,One Size,14,11,06,Socks
15994553,1,30-36,14,12,46,Socks
70548018,7,36W/34L,62,45,26,Pants
95925227,9,XL,68,54,4,Top
73398529,0,2XS,34,24,48,Top
23070304,2,30-36,9,6,39,Socks
93265523,9,32W/32L,65,57,85,Pants
90155048,4,32W/32L,103,83,43,Pants
40078403,6,XXS,78,59,28,Top
75560589,0,30W/32L,51,41,82,Pants
20152947,6,3XL,22,16,5,Top
48208751,4,25-30,10,8,9,Socks
66929889,6,36DD,65,51,35,Bra
54933773,8,28W/30L,73,55,48,Pants
99548287,9,30W/32L,60,43,2,Pants
50688180,7,32W/32L,98,86,24,Pants
29423508,5,25-30,11,9,35,Socks
47095460,4,2XL,26,18,2,Top
46703848,8,28W/30L,104,79,04,Pants
60106565,9,One Size,9,7,47,Socks
80132719,7,30-36,11,7,7,Socks
45439551,1,25-30,5,4,15,Socks
46976745,9,36C,35,30,1,Bra
37344788,1,3XL,74,65,86,Top
25554071,4,28W/30L,45,40,05,Pants
70548018,2,36W/34L,62,45,26,Pants
73223648,5,30-36,6,4,98,Socks
21999501,6,36DD,60,42,Bra
69482933,3,2XS,57,48,45,Top
62629207,5,S,67,54,27,Top
92505950,8,36DD,61,46,97,Bra
90804564,2,2XL,50,39,Top
41513826,2,32B,32,26,88,Bra
77847173,4,3XL,26,21,32,Top
22379658,5,One Size,14,11,9,Socks
66929889,7,36DD,65,51,35,Bra
17768982,7,2XL,20,17,2,Top
61525798,3,30W/32L,81,58,32,Pants
14232187,8,XXS,59,51,92,Top
42214269,2,30-36,7,5,11,Socks
16957637,3,30W/32L,113,91,53,Pants
73398529,1,2XS,34,24,48,Top
90804564,9,2XL,50,39,Top
71032979,2,32W/32L,50,39,5,Pants
41513826,8,32B,32,26,88,Bra
64106892,9,2XS,69,53,82,Top
41361032,5,One Size,6,4,38,Socks
76610344,3,28W/30L,44,36,52,Pants
52548839,3,36C,37,27,75,Bra
62086631,9,32BB,54,42,66,Bra
92505950,4,36DD,61,46,97,Bra
65078750,5,30W/32L,53,43,46,Pants
14952238,7,One Size,5,3,75,Socks
50969948,5,32W/32L,117,94,77,Pants
80329518,2,34W/34L,98,79,38,Pants
22379658,7,One Size,14,11,9,Socks
23223179,0,3XL,75,54,75,Top
88656694,8,S,30,24,3,Top
69482933,3,2XS,57,48,45,Top
34211310,3,X242S,33,23,43,Top
73398529,3,2XS,34,24,48,Top
40527196,1,3XS,25,22,Top
22379658,2,One Size,14,11,9,Socks
40535324,2,25-30,8,6,4,Socks
74481829,5,36D,35,28,35,Bra
66876140,1,32C,33,28,71,Bra
31192834,9,3XL,38,32,68,Top
73398529,2,2XS,34,24,48,Top
23443976,5,32W/32L,53,39,75,Pants
90782199,2,32W/32L,57,44,46,Pants
37908379,4,32W/32L,56,45,36,Pants
37344788,2,3XL,74,65,86,Top
27708443,2,One Size,13,10,14,Socks
72358060,2,30W/32L,109,94,83,Pants
67163030,4,36D,41,32,8,Bra
13520008,0,34W/34L,69,55,89,Pants
67409841,8,32W/32L,104,86,32,Pants
62100070,8,28W/30L,61,45,75,Pants
73180517,8,S,38,28,12,Top
60391442,7,32W/32L,99,86,13,Pants
49738211,8,S,24,17,76,Top
20152947,8,3XL,22,16,5,Top
13313567,3,32BB,59,45,43,Bra
62629207,9,S,67,54,27,Top
62363367,2,One Size,11,7,81,Socks
47099526,6,2XS,41,33,21,Top
26526512,5,25-30,11,9,79,Socks
23313150,7,3XS,24,18,96,Top
50969948,3,32W/32L,117,94,77,Pants
79949517,5,32B,32,24,64,Bra
90804564,4,2XL,50,39,Top
62100070,9,28W/30L,61,45,75,Pants
50969948,5,32W/32L,117,94,77,Pants
24909717,2,XXS,69,55,89,Top
93265523,7,32W/32L,65,57,85,Pants
74599895,6,XXS,39,33,54,Top
17760173,5,3XL,45,39,15,Top
74566085,3,28W/30L,68,50,32,Pants
86657963,6,One Size,7,6,02,Socks
16945429,2,3XL,30,22,2,Top
54470290,7,X242S,52,38,48,Top
78390862,6,One Size,5,3,9,Socks
83011317,4,30W/32L,73,57,67,Pants
41710348,9,30-36,10,8,3,Socks
65021000,8,30-36,10,8,6,Socks
48514713,2,36DD,58,41,18,Bra
26415011,0,32C,37,27,75,Bra
86791396,0,X242S,69,54,51,Top
11051532,5,X242S,56,39,2,Top
36178624,4,28W/30L,108,96,12,Pants
63564268,1,32A,64,45,44,Bra
62180424,4,2XS,31,21,7,Top
71365318,2,One Size,13,10,92,Socks
74599895,7,XXS,39,33,54,Top
48414787,6,32B,66,53,46,Bra
65389352,8,One Size,9,7,38,Socks
11445225,2,36DD,59,50,15,Bra
37894232,9,32W/32L,40,31,2,Pants
25239101,4,32W/32L,65,45,5,Pants
91831460,4,2XS,58,40,6,Top
61525798,2,30W/32L,81,58,32,Pants
88040299,1,One Size,8,5,68,Socks
53699722,7,X242S,59,45,43,Top
90155048,7,32W/32L,103,83,43,Pants
55414087,6,30-36,8,7,04,Socks
93265523,3,32W/32L,65,57,85,Pants
22373913,4,S,70,59,5,Top
37344788,5,3XL,74,65,86,Top
26415011,9,32C,37,27,75,Bra
17760173,5,3XL,45,39,15,Top
14232187,8,XXS,59,51,92,Top
36226013,6,3XS,71,57,51,Top
33235068,4,36W/34L,115,97,75,Pants
92505950,7,36DD,61,46,97,Bra
17629964,4,36W/34L,109,88,29,Pants
67163030,9,36D,41,32,8,Bra
65751997,7,X242S,25,20,Top
36226013,4,3XS,71,57,51,Top
61525798,9,30W/32L,81,58,32,Pants
86791396,1,X242S,69,54,51,Top
59221648,5,32B,52,40,56,Bra
42276662,3,32C,53,46,11,Bra
42840707,0,32W/32L,91,77,35,Pants
40527196,1,3XS,25,22,Top
92505950,7,36DD,61,46,97,Bra
73180517,5,S,38,28,12,Top
84031015,4,36DD,64,47,36,Bra
92355026,4,25-30,14,9,94,Socks
73180517,2,S,38,28,12,Top
47095460,0,2XL,26,18,2,Top
83226571,8,30-36,9,7,38,Socks
98588822,2,30W/32L,75,66,75,Pants
92355026,2,25-30,14,9,94,Socks
74566085,4,28W/30L,68,50,32,Pants
42840707,0,32W/32L,91,77,35,Pants
46976745,0,36C,35,30,1,Bra
46069959,7,36DD,32,27,2,Bra
41513826,2,32B,32,26,88,Bra
22379658,9,One Size,14,11,9,Socks
11676792,7,30-36,9,6,48,Socks
36178624,9,28W/30L,108,96,12,Pants
60866191,4,32BB,36,29,52,Bra
80132719,4,30-36,11,7,7,Socks
79500861,5,32A,57,39,9,Bra
58841540,3,28W/30L,69,52,44,Pants
38421456,2,3XL,20,15,8,Top
36178624,2,28W/30L,108,96,12,Pants
11166778,3,M,40,30,8,Top
67163030,7,36D,41,32,8,Bra
62100070,7,28W/30L,61,45,75,Pants
13520008,2,34W/34L,69,55,89,Pants
60866191,4,32BB,36,29,52,Bra
20152947,0,3XL,22,16,5,Top
42276662,1,32C,53,46,11,Bra
86657963,4,One Size,7,6,02,Socks
82798623,9,34W/34L,99,84,15,Pants
50117798,7,One Size,12,9,Socks
30540100,9,32B,59,43,07,Bra
54707915,2,X242S,37,28,86,Top
15994553,1,30-36,14,12,46,Socks
17629964,3,36W/34L,109,88,29,Pants
92355026,1,25-30,14,9,94,Socks
83832739,6,25-30,14,10,64,Socks
43081565,9,X242S,41,34,44,Top
54707915,7,X242S,37,28,86,Top
67409841,4,32W/32L,104,86,32,Pants
56326945,1,32B,48,42,24,Bra
84600208,9,32W/32L,108,93,96,Pants
22872546,2,32A,36,31,68,Bra
27708443,0,One Size,13,10,14,Socks
47099526,1,2XS,41,33,21,Top
81236120,4,One Size,13,9,75,Socks
59221648,0,32B,52,40,56,Bra
71032979,4,32W/32L,50,39,5,Pants
43081565,6,X242S,41,34,44,Top
61525798,2,30W/32L,81,58,32,Pants
76268236,3,One Size,5,3,8,Socks
77175050,9,36D,30,22,2,Bra
21785277,3,32A,36,25,56,Bra
25554071,3,28W/30L,45,40,05,Pants
75560589,5,30W/32L,51,41,82,Pants
53683452,3,3XL,59,46,61,Top
66929889,5,36DD,65,51,35,Bra
62363367,8,One Size,11,7,81,Socks
21785277,5,32A,36,25,56,Bra
33170046,1,S,55,42,35,Top
83301427,2,One Size,6,4,44,Socks
11043900,9,36W/34L,58,44,66,Pants
43889246,2,30-36,5,4,1,Socks
83832739,9,25-30,14,10,64,Socks
84604333,9,2XL,68,57,12,Top
65021000,4,30-36,10,8,6,Socks
80546982,9,XL,75,61,5,Top
62363367,5,One Size,11,7,81,Socks
33070185,8,XL,74,58,46,Top
44499116,7,32W/32L,52,37,44,Pants
93980601,5,XL,36,25,2,Top
42614786,2,3XS,46,39,56,Top
16945429,0,3XL,30,22,2,Top
28221547,9,34W/34L,68,48,96,Pants
13531298,5,32A,62,55,18,Bra
28221547,2,34W/34L,68,48,96,Pants
43081565,9,X242S,41,34,44,Top
36690229,3,XXS,53,37,63,Top
88040299,6,One Size,8,5,68,Socks
58131802,2,36D,38,27,74,Bra
72358060,0,30W/32L,109,94,83,Pants
41710348,8,30-36,10,8,3,Socks
74566085,2,28W/30L,68,50,32,Pants
73223648,5,30-36,6,4,98,Socks
97330723,6,36C,32,28,16,Bra
39964973,7,XXS,24,17,76,Top
11445225,0,36DD,59,50,15,Bra
48208751,3,25-30,10,8,9,Socks
16957637,3,30W/32L,113,91,53,Pants
43290697,5,S,67,47,57,Top
95652558,6,36C,65,57,2,Bra
93265523,3,32W/32L,65,57,85,Pants
37894232,1,32W/32L,40,31,2,Pants
24878415,1,34W/34L,75,58,5,Pants
43889246,8,30-36,5,4,1,Socks
49328405,0,32BB,41,28,7,Bra
79779732,8,36W/34L,114,91,2,Pants
79779732,4,36W/34L,114,91,2,Pants
63564268,0,32A,64,45,44,Bra
62086631,7,32BB,54,42,66,Bra
52399792,0,36D,56,49,28,Bra
84600208,4,32W/32L,108,93,96,Pants
39964973,5,XXS,24,17,76,Top
43290697,4,S,67,47,57,Top
37894232,4,32W/32L,40,31,2,Pants
40278562,0,One Size,14,11,2,Socks
77847173,6,3XL,26,21,32,Top
76037179,5,M,68,55,08,Top
14764123,3,3XL,50,42,5,Top
26415011,3,32C,37,27,75,Bra
29423508,1,25-30,11,9,35,Socks
62180424,5,2XS,31,21,7,Top
50969948,2,32W/32L,117,94,77,Pants
43290697,4,S,67,47,57,Top
20152947,3,3XL,22,16,5,Top
82798623,2,34W/34L,99,84,15,Pants
90782199,9,32W/32L,57,44,46,Pants
14764123,3,3XL,50,42,5,Top
48208751,9,25-30,10,8,9,Socks
48414787,2,32B,66,53,46,Bra
50117798,9,One Size,12,9,Socks
73398529,8,2XS,34,24,48,Top
27964160,2,36W/34L,67,49,58,Pants
48437973,9,36DD,58,44,66,Bra
28221547,9,34W/34L,68,48,96,Pants
44201276,9,36D,38,31,92,Bra
